"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AL";"27359";"CARNEIROS";19;1774967;246630248741423516349785;"ECF5F710";"2024-09-20 10:02:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27359";"CARNEIROS";19;1767580;933599930310204428600434;"ECF5F710";"2024-09-20 10:12:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27359";"CARNEIROS";19;1764000;569862561673858585347557;"ECF5F710";"2024-09-20 10:21:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27472";"DELMIRO GOUVEIA";40;1810147;273555271729571282029858;"B5AE3135";"2024-09-20 16:26:00";"N";"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27472";"DELMIRO GOUVEIA";40;1666630;697797691571042315545973;"B5AE3135";"2024-09-20 16:18:00";"N";"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27472";"DELMIRO GOUVEIA";40;1670703;515979515553761156870945;"B5AE3135";"2024-09-20 16:34:00";"N";"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27910";"MARAVILHA";50;2038238;601995600240491031678796;"3AB2D76E";"2024-09-20 10:47:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27910";"MARAVILHA";50;2069741;985733986578617794076401;"3AB2D76E";"2024-09-20 10:52:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27910";"MARAVILHA";50;2070831;268561261906170788057851;"3AB2D76E";"2024-09-20 10:56:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27910";"MARAVILHA";50;2044828;581793580638737214047014;"3AB2D76E";"2024-09-20 11:00:00";"N";"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
