"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AC";"01554";"MANOEL URBANO";3;44;2047049;761109482692175241258120;"4B2DA5A9";"2024-09-25 11:29:00";"N";1244;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC003STD91";"622ACF17D83EFBD9C5351234D25B9CC3A1930D32";"26D1D987"
"06/10/2024";"14:06:53";2024;452;"AC";"01457";"SENA MADUREIRA";3;57;2045940;581391707269605257229064;"5BD10511";"2024-09-25 16:56:00";"N";1120;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC003STD91";"622ACF17D83EFBD9C5351234D25B9CC3A1930D32";"26D1D987"
"06/10/2024";"14:06:53";2024;452;"AC";"01538";"SENADOR GUIOMARD";8;227;2285816;85796179447954886526505;"B2CA5CC5";"2024-09-26 09:14:00";"N";1090;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC008STD90";"37DC9DDF3B25AE97B1B2B2BC76CCE0EB23B939CE";"142087CE"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;359;2251822;812880427312294603105826;"86D4F0A1";"2024-09-29 10:09:00";"N";2208;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01457";"SENA MADUREIRA";3;32;2046656;379270800448191248681451;"5BD10511";"2024-09-25 15:46:00";"N";1171;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC003STD91";"622ACF17D83EFBD9C5351234D25B9CC3A1930D32";"26D1D987"
"06/10/2024";"14:06:53";2024;452;"AC";"01473";"TARAUACÁ";5;117;2046129;398094326540577624097688;"E28B555D";"2024-09-25 14:21:00";"N";1350;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC005STD90";"08A56C93819BE711F51A27B174A626FBBFBAD438";"0D97F536"
"06/10/2024";"14:06:53";2024;452;"AC";"01120";"ACRELÂNDIA";8;215;2266562;44292847571810721556710;"2F1C249E";"2024-09-25 10:04:00";"N";1139;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC008STD90";"37DC9DDF3B25AE97B1B2B2BC76CCE0EB23B939CE";"142087CE"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;366;2257498;418840769072533397178921;"86D4F0A1";"2024-09-29 11:11:00";"N";2216;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";1;422;2264391;732084453655382953459222;"01E91865";"2024-09-27 11:56:00";"N";2569;"RACWCSC03";"6E3304905E6EC479D7C4";"EDF0085A";"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";1;753;2260684;772488084156040542021439;"473A02AD";"2024-09-27 16:57:00";"N";3859;"RACWCSC03";"6E3304905E6EC479D7C4";"EDF0085A";"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5"
